year,age_group,ukborn,pulmextrapulm,type,policy_change,incidence
2009,5-9,NA,Extra-pulmonary only,fitted,Targeted,0
2009,5-9,NA,Extra-pulmonary only,observed,Universal,0
2009,5-9,NA,Extra-pulmonary only,observed,Targeted,2
2009,5-9,NA,"Pulmonary, with or without EP",fitted,Universal,0
2009,5-9,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2009,5-9,NA,"Pulmonary, with or without EP",observed,Universal,0
2009,5-9,NA,"Pulmonary, with or without EP",observed,Targeted,3
2009,5-9,NA,NA,fitted,Universal,0
2009,5-9,NA,NA,fitted,Targeted,0
2009,5-9,NA,NA,observed,Universal,0
2009,5-9,NA,NA,observed,Targeted,2
2009,10-14,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2009,10-14,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,10-14,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2009,10-14,Non-UK Born,Extra-pulmonary only,observed,Targeted,19
2009,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,48
2009,10-14,Non-UK Born,NA,fitted,Universal,0
2009,10-14,Non-UK Born,NA,fitted,Targeted,0
2009,10-14,Non-UK Born,NA,observed,Universal,0
2009,10-14,Non-UK Born,NA,observed,Targeted,2
2009,10-14,UK Born,Extra-pulmonary only,fitted,Universal,0
2009,10-14,UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,10-14,UK Born,Extra-pulmonary only,observed,Universal,0
2009,10-14,UK Born,Extra-pulmonary only,observed,Targeted,14
2009,10-14,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,10-14,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,10-14,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,10-14,UK Born,"Pulmonary, with or without EP",observed,Targeted,48
2009,10-14,UK Born,NA,fitted,Universal,0
2009,10-14,UK Born,NA,fitted,Targeted,0
2009,10-14,UK Born,NA,observed,Universal,0
2009,10-14,UK Born,NA,observed,Targeted,1
2009,10-14,NA,Extra-pulmonary only,fitted,Universal,0
2009,10-14,NA,Extra-pulmonary only,fitted,Targeted,0
2009,10-14,NA,Extra-pulmonary only,observed,Universal,0
2009,10-14,NA,Extra-pulmonary only,observed,Targeted,3
2009,10-14,NA,"Pulmonary, with or without EP",fitted,Universal,0
2009,10-14,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2009,10-14,NA,"Pulmonary, with or without EP",observed,Universal,0
2009,10-14,NA,"Pulmonary, with or without EP",observed,Targeted,3
2009,15-19,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2009,15-19,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,15-19,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2009,15-19,Non-UK Born,Extra-pulmonary only,observed,Targeted,92
2009,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,136
2009,15-19,Non-UK Born,NA,fitted,Universal,0
2009,15-19,Non-UK Born,NA,fitted,Targeted,0
2009,15-19,Non-UK Born,NA,observed,Universal,0
2009,15-19,Non-UK Born,NA,observed,Targeted,2
2009,15-19,UK Born,Extra-pulmonary only,fitted,Universal,0
2009,15-19,UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,15-19,UK Born,Extra-pulmonary only,observed,Universal,0
2009,15-19,UK Born,Extra-pulmonary only,observed,Targeted,41
2009,15-19,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,15-19,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,15-19,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,15-19,UK Born,"Pulmonary, with or without EP",observed,Targeted,126
2009,15-19,UK Born,NA,fitted,Universal,0
2009,15-19,UK Born,NA,fitted,Targeted,0
2009,15-19,UK Born,NA,observed,Universal,0
2009,15-19,UK Born,NA,observed,Targeted,1
2009,15-19,NA,Extra-pulmonary only,fitted,Universal,0
2009,15-19,NA,Extra-pulmonary only,fitted,Targeted,0
2009,15-19,NA,Extra-pulmonary only,observed,Universal,0
2009,15-19,NA,Extra-pulmonary only,observed,Targeted,1
2009,15-19,NA,"Pulmonary, with or without EP",fitted,Universal,0
2009,15-19,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2009,15-19,NA,"Pulmonary, with or without EP",observed,Universal,0
2009,15-19,NA,"Pulmonary, with or without EP",observed,Targeted,14
2009,20-24,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2009,20-24,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,20-24,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2009,20-24,Non-UK Born,Extra-pulmonary only,observed,Targeted,257
2009,20-24,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,20-24,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,20-24,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,20-24,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,391
2009,20-24,Non-UK Born,NA,fitted,Universal,0
2009,20-24,Non-UK Born,NA,fitted,Targeted,0
2009,20-24,Non-UK Born,NA,observed,Universal,0
2009,20-24,Non-UK Born,NA,observed,Targeted,1
2009,20-24,UK Born,Extra-pulmonary only,fitted,Universal,0
2009,20-24,UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,20-24,UK Born,Extra-pulmonary only,observed,Universal,0
2009,20-24,UK Born,Extra-pulmonary only,observed,Targeted,43
2009,20-24,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,20-24,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,20-24,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,20-24,UK Born,"Pulmonary, with or without EP",observed,Targeted,107
2009,20-24,UK Born,NA,fitted,Universal,0
2009,20-24,UK Born,NA,fitted,Targeted,0
2009,20-24,UK Born,NA,observed,Universal,0
2009,20-24,UK Born,NA,observed,Targeted,1
2009,20-24,NA,Extra-pulmonary only,fitted,Universal,0
2009,20-24,NA,Extra-pulmonary only,fitted,Targeted,0
2009,20-24,NA,Extra-pulmonary only,observed,Universal,0
2009,20-24,NA,Extra-pulmonary only,observed,Targeted,12
2009,20-24,NA,"Pulmonary, with or without EP",fitted,Universal,0
2009,20-24,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2009,20-24,NA,"Pulmonary, with or without EP",observed,Universal,0
2009,20-24,NA,"Pulmonary, with or without EP",observed,Targeted,22
2009,25-29,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2009,25-29,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,25-29,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2009,25-29,Non-UK Born,Extra-pulmonary only,observed,Targeted,475
2009,25-29,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,25-29,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,25-29,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,25-29,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,472
2009,25-29,Non-UK Born,NA,fitted,Universal,0
2009,25-29,Non-UK Born,NA,fitted,Targeted,0
2009,25-29,Non-UK Born,NA,observed,Universal,0
2009,25-29,Non-UK Born,NA,observed,Targeted,1
2009,25-29,UK Born,Extra-pulmonary only,fitted,Universal,0
2009,25-29,UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,25-29,UK Born,Extra-pulmonary only,observed,Universal,0
2009,25-29,UK Born,Extra-pulmonary only,observed,Targeted,65
2009,25-29,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,25-29,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,25-29,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,25-29,UK Born,"Pulmonary, with or without EP",observed,Targeted,100
2009,25-29,NA,Extra-pulmonary only,fitted,Universal,0
2009,25-29,NA,Extra-pulmonary only,fitted,Targeted,0
2009,25-29,NA,Extra-pulmonary only,observed,Universal,0
2009,25-29,NA,Extra-pulmonary only,observed,Targeted,26
2009,25-29,NA,"Pulmonary, with or without EP",fitted,Universal,0
2009,25-29,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2009,25-29,NA,"Pulmonary, with or without EP",observed,Universal,0
2009,25-29,NA,"Pulmonary, with or without EP",observed,Targeted,29
2009,25-29,NA,NA,fitted,Universal,0
2009,25-29,NA,NA,fitted,Targeted,0
2009,25-29,NA,NA,observed,Universal,0
2009,25-29,NA,NA,observed,Targeted,1
2009,30-34,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2009,30-34,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,30-34,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2009,30-34,Non-UK Born,Extra-pulmonary only,observed,Targeted,460
2009,30-34,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,30-34,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,30-34,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,30-34,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,380
2009,30-34,Non-UK Born,NA,fitted,Universal,0
2009,30-34,Non-UK Born,NA,fitted,Targeted,0
2009,30-34,Non-UK Born,NA,observed,Universal,0
2009,30-34,Non-UK Born,NA,observed,Targeted,2
2009,30-34,UK Born,Extra-pulmonary only,fitted,Universal,0
2009,30-34,UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,30-34,UK Born,Extra-pulmonary only,observed,Universal,0
2009,30-34,UK Born,Extra-pulmonary only,observed,Targeted,37
2009,30-34,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,30-34,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,30-34,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,30-34,UK Born,"Pulmonary, with or without EP",observed,Targeted,77
2009,30-34,UK Born,NA,fitted,Universal,0
2009,30-34,UK Born,NA,fitted,Targeted,0
2009,30-34,UK Born,NA,observed,Universal,0
2009,30-34,UK Born,NA,observed,Targeted,1
2009,30-34,NA,Extra-pulmonary only,fitted,Universal,0
2009,30-34,NA,Extra-pulmonary only,fitted,Targeted,0
2009,30-34,NA,Extra-pulmonary only,observed,Universal,0
2009,30-34,NA,Extra-pulmonary only,observed,Targeted,28
2009,30-34,NA,"Pulmonary, with or without EP",fitted,Universal,0
2009,30-34,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2009,30-34,NA,"Pulmonary, with or without EP",observed,Universal,0
2009,30-34,NA,"Pulmonary, with or without EP",observed,Targeted,37
2009,30-34,NA,NA,fitted,Universal,0
2009,30-34,NA,NA,fitted,Targeted,0
2009,30-34,NA,NA,observed,Universal,0
2009,30-34,NA,NA,observed,Targeted,2
2009,35-39,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2009,35-39,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,35-39,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2009,35-39,Non-UK Born,Extra-pulmonary only,observed,Targeted,387
2009,35-39,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,35-39,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,35-39,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,35-39,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,287
2009,35-39,Non-UK Born,NA,fitted,Universal,0
2009,35-39,Non-UK Born,NA,fitted,Targeted,0
2009,35-39,Non-UK Born,NA,observed,Universal,0
2009,35-39,Non-UK Born,NA,observed,Targeted,3
2009,35-39,UK Born,Extra-pulmonary only,fitted,Universal,0
2009,35-39,UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,35-39,UK Born,Extra-pulmonary only,observed,Universal,0
2009,35-39,UK Born,Extra-pulmonary only,observed,Targeted,43
2009,35-39,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,35-39,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,35-39,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,35-39,UK Born,"Pulmonary, with or without EP",observed,Targeted,86
2009,35-39,NA,Extra-pulmonary only,fitted,Universal,0
2009,35-39,NA,Extra-pulmonary only,fitted,Targeted,0
2009,35-39,NA,Extra-pulmonary only,observed,Universal,0
2009,35-39,NA,Extra-pulmonary only,observed,Targeted,26
2009,35-39,NA,"Pulmonary, with or without EP",fitted,Universal,0
2009,35-39,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2009,35-39,NA,"Pulmonary, with or without EP",observed,Universal,0
2009,35-39,NA,"Pulmonary, with or without EP",observed,Targeted,23
2009,35-39,NA,NA,fitted,Universal,0
2009,35-39,NA,NA,fitted,Targeted,0
2009,35-39,NA,NA,observed,Universal,0
2009,35-39,NA,NA,observed,Targeted,3
2009,40-44,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2009,40-44,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,40-44,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2009,40-44,Non-UK Born,Extra-pulmonary only,observed,Targeted,277
2009,40-44,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,40-44,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,40-44,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,40-44,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,222
2009,40-44,UK Born,Extra-pulmonary only,fitted,Universal,0
2009,40-44,UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,40-44,UK Born,Extra-pulmonary only,observed,Universal,0
2009,40-44,UK Born,Extra-pulmonary only,observed,Targeted,23
2009,40-44,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,40-44,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,40-44,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,40-44,UK Born,"Pulmonary, with or without EP",observed,Targeted,103
2009,40-44,UK Born,NA,fitted,Universal,0
2009,40-44,UK Born,NA,fitted,Targeted,0
2009,40-44,UK Born,NA,observed,Universal,0
2009,40-44,UK Born,NA,observed,Targeted,2
2009,40-44,NA,Extra-pulmonary only,fitted,Universal,0
2009,40-44,NA,Extra-pulmonary only,fitted,Targeted,0
2009,40-44,NA,Extra-pulmonary only,observed,Universal,0
2009,40-44,NA,Extra-pulmonary only,observed,Targeted,18
2009,40-44,NA,"Pulmonary, with or without EP",fitted,Universal,0
2009,40-44,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2009,40-44,NA,"Pulmonary, with or without EP",observed,Universal,0
2009,40-44,NA,"Pulmonary, with or without EP",observed,Targeted,16
2009,45-49,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2009,45-49,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,45-49,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2009,45-49,Non-UK Born,Extra-pulmonary only,observed,Targeted,225
2009,45-49,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,45-49,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,45-49,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,45-49,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,149
2009,45-49,Non-UK Born,NA,fitted,Universal,0
2009,45-49,Non-UK Born,NA,fitted,Targeted,0
2009,45-49,Non-UK Born,NA,observed,Universal,0
2009,45-49,Non-UK Born,NA,observed,Targeted,1
2009,45-49,UK Born,Extra-pulmonary only,fitted,Universal,0
2009,45-49,UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,45-49,UK Born,Extra-pulmonary only,observed,Universal,0
2009,45-49,UK Born,Extra-pulmonary only,observed,Targeted,33
2009,45-49,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,45-49,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,45-49,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,45-49,UK Born,"Pulmonary, with or without EP",observed,Targeted,87
2009,45-49,NA,Extra-pulmonary only,fitted,Universal,0
2009,45-49,NA,Extra-pulmonary only,fitted,Targeted,0
2009,45-49,NA,Extra-pulmonary only,observed,Universal,0
2009,45-49,NA,Extra-pulmonary only,observed,Targeted,11
2009,45-49,NA,"Pulmonary, with or without EP",fitted,Universal,0
2009,45-49,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2009,45-49,NA,"Pulmonary, with or without EP",observed,Universal,0
2009,45-49,NA,"Pulmonary, with or without EP",observed,Targeted,17
2009,45-49,NA,NA,fitted,Universal,0
2009,45-49,NA,NA,fitted,Targeted,0
2009,45-49,NA,NA,observed,Universal,0
2009,45-49,NA,NA,observed,Targeted,2
2009,50-69,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2009,50-69,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,50-69,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2009,50-69,Non-UK Born,Extra-pulmonary only,observed,Targeted,525
2009,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,398
2009,50-69,Non-UK Born,NA,fitted,Universal,0
2009,50-69,Non-UK Born,NA,fitted,Targeted,0
2009,50-69,Non-UK Born,NA,observed,Universal,0
2009,50-69,Non-UK Born,NA,observed,Targeted,4
2009,50-69,UK Born,Extra-pulmonary only,fitted,Universal,0
2009,50-69,UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,50-69,UK Born,Extra-pulmonary only,observed,Universal,0
2009,50-69,UK Born,Extra-pulmonary only,observed,Targeted,93
2009,50-69,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,50-69,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,50-69,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,50-69,UK Born,"Pulmonary, with or without EP",observed,Targeted,290
2009,50-69,UK Born,NA,fitted,Universal,0
2009,50-69,UK Born,NA,fitted,Targeted,0
2009,50-69,UK Born,NA,observed,Universal,0
2009,50-69,UK Born,NA,observed,Targeted,3
2009,50-69,NA,Extra-pulmonary only,fitted,Universal,0
2009,50-69,NA,Extra-pulmonary only,fitted,Targeted,0
2009,50-69,NA,Extra-pulmonary only,observed,Universal,0
2009,50-69,NA,Extra-pulmonary only,observed,Targeted,44
2009,50-69,NA,"Pulmonary, with or without EP",fitted,Universal,0
2009,50-69,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2009,50-69,NA,"Pulmonary, with or without EP",observed,Universal,0
2009,50-69,NA,"Pulmonary, with or without EP",observed,Targeted,82
2009,50-69,NA,NA,fitted,Universal,0
2009,50-69,NA,NA,fitted,Targeted,0
2009,50-69,NA,NA,observed,Universal,0
2009,50-69,NA,NA,observed,Targeted,3
2009,70-89,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2009,70-89,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,70-89,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2009,70-89,Non-UK Born,Extra-pulmonary only,observed,Targeted,162
2009,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,229
2009,70-89,UK Born,Extra-pulmonary only,fitted,Universal,0
2009,70-89,UK Born,Extra-pulmonary only,fitted,Targeted,0
2009,70-89,UK Born,Extra-pulmonary only,observed,Universal,0
2009,70-89,UK Born,Extra-pulmonary only,observed,Targeted,74
2009,70-89,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2009,70-89,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2009,70-89,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2009,70-89,UK Born,"Pulmonary, with or without EP",observed,Targeted,205
2009,70-89,UK Born,NA,fitted,Universal,0
2009,70-89,UK Born,NA,fitted,Targeted,0
2009,70-89,UK Born,NA,observed,Universal,0
2009,70-89,UK Born,NA,observed,Targeted,2
2009,70-89,NA,Extra-pulmonary only,fitted,Universal,0
2009,70-89,NA,Extra-pulmonary only,fitted,Targeted,0
2009,70-89,NA,Extra-pulmonary only,observed,Universal,0
2009,70-89,NA,Extra-pulmonary only,observed,Targeted,30
2009,70-89,NA,"Pulmonary, with or without EP",fitted,Universal,0
2009,70-89,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2009,70-89,NA,"Pulmonary, with or without EP",observed,Universal,0
2009,70-89,NA,"Pulmonary, with or without EP",observed,Targeted,64
2009,70-89,NA,NA,fitted,Universal,0
2009,70-89,NA,NA,fitted,Targeted,0
2009,70-89,NA,NA,observed,Universal,0
2009,70-89,NA,NA,observed,Targeted,6
2010,0-4,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2010,0-4,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2010,0-4,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2010,0-4,Non-UK Born,Extra-pulmonary only,observed,Targeted,2
2010,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2010,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2010,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2010,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,7
2010,0-4,UK Born,Extra-pulmonary only,fitted,Universal,0
2010,0-4,UK Born,Extra-pulmonary only,fitted,Targeted,0
2010,0-4,UK Born,Extra-pulmonary only,observed,Universal,0
2010,0-4,UK Born,Extra-pulmonary only,observed,Targeted,31
2010,0-4,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2010,0-4,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2010,0-4,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2010,0-4,UK Born,"Pulmonary, with or without EP",observed,Targeted,65
2010,0-4,UK Born,NA,fitted,Universal,0
2010,0-4,UK Born,NA,fitted,Targeted,0
2010,0-4,UK Born,NA,observed,Universal,0
2010,0-4,UK Born,NA,observed,Targeted,1
2010,0-4,NA,Extra-pulmonary only,fitted,Universal,0
2010,0-4,NA,Extra-pulmonary only,fitted,Targeted,0
2010,0-4,NA,Extra-pulmonary only,observed,Universal,0
2010,0-4,NA,Extra-pulmonary only,observed,Targeted,1
2010,0-4,NA,"Pulmonary, with or without EP",fitted,Universal,0
2010,0-4,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2010,0-4,NA,"Pulmonary, with or without EP",observed,Universal,0
2010,0-4,NA,"Pulmonary, with or without EP",observed,Targeted,6
2010,5-9,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2010,5-9,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2010,5-9,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2010,5-9,Non-UK Born,Extra-pulmonary only,observed,Targeted,10
2010,5-9,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2010,5-9,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2010,5-9,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2010,5-9,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,16
2010,5-9,UK Born,Extra-pulmonary only,fitted,Universal,0
2010,5-9,UK Born,Extra-pulmonary only,fitted,Targeted,0
2010,5-9,UK Born,Extra-pulmonary only,observed,Universal,0
2010,5-9,UK Born,Extra-pulmonary only,observed,Targeted,20
2010,5-9,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2010,5-9,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2010,5-9,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2010,5-9,UK Born,"Pulmonary, with or without EP",observed,Targeted,42
2010,5-9,UK Born,NA,fitted,Universal,0
2010,5-9,UK Born,NA,fitted,Targeted,0
2010,5-9,UK Born,NA,observed,Universal,0
2010,5-9,UK Born,NA,observed,Targeted,3
2010,5-9,NA,Extra-pulmonary only,fitted,Universal,0
2010,5-9,NA,Extra-pulmonary only,fitted,Targeted,0
2010,5-9,NA,Extra-pulmonary only,observed,Universal,0
2010,5-9,NA,Extra-pulmonary only,observed,Targeted,2
2010,5-9,NA,"Pulmonary, with or without EP",fitted,Universal,0
2010,5-9,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2010,5-9,NA,"Pulmonary, with or without EP",observed,Universal,0
2010,5-9,NA,"Pulmonary, with or without EP",observed,Targeted,4
2010,10-14,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2010,10-14,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2010,10-14,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2010,10-14,Non-UK Born,Extra-pulmonary only,observed,Targeted,23
2010,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2010,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2010,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2010,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,37
2010,10-14,UK Born,Extra-pulmonary only,fitted,Universal,0
2010,10-14,UK Born,Extra-pulmonary only,fitted,Targeted,0
2010,10-14,UK Born,Extra-pulmonary only,observed,Universal,0
2010,10-14,UK Born,Extra-pulmonary only,observed,Targeted,25
2010,10-14,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2010,10-14,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2010,10-14,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2010,10-14,UK Born,"Pulmonary, with or without EP",observed,Targeted,50
2010,10-14,UK Born,NA,fitted,Universal,0
2010,10-14,UK Born,NA,fitted,Targeted,0
2010,10-14,UK Born,NA,observed,Universal,0
2010,10-14,UK Born,NA,observed,Targeted,1
2010,10-14,NA,Extra-pulmonary only,fitted,Universal,0
2010,10-14,NA,Extra-pulmonary only,fitted,Targeted,0
2010,10-14,NA,Extra-pulmonary only,observed,Universal,0
2010,10-14,NA,Extra-pulmonary only,observed,Targeted,5
2010,10-14,NA,"Pulmonary, with or without EP",fitted,Universal,0
2010,10-14,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2010,10-14,NA,"Pulmonary, with or without EP",observed,Universal,0
2010,10-14,NA,"Pulmonary, with or without EP",observed,Targeted,4
2010,15-19,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2010,15-19,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2010,15-19,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2010,15-19,Non-UK Born,Extra-pulmonary only,observed,Targeted,84
2010,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2010,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2010,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2010,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,133
2010,15-19,Non-UK Born,NA,fitted,Universal,0
